DATA,-105.92,184.80,-1011.87,5.76,-2.42,6.20,-57.60,1.50,33.00,-95.96,175.31,1045.37,6.19,-2.32,6.34,-29.27,-16.60,-51.13,61.21,-0.7508,0.1831,0.1040,-0.6260,23.97,-4.19,258.75,209.56,223.56,193.94
DATA,-28.80,78.63,-791.52,10.99,-6.65,16.23,-57.30,-0.30,34.05,-18.25,68.22,825.41,11.42,-6.55,16.37,-28.98,-18.38,-52.19,62.46,-0.7465,0.1865,0.0860,-0.6329,22.93,-6.18,259.33,212.38,226.39,205.04
DATA,-172.53,411.66,-1011.62,7.10,0.24,22.97,-56.25,1.65,35.40,-163.08,404.13,1045.12,7.54,0.34,23.11,-27.94,-16.47,-53.49,62.56,-0.7370,0.1935,0.1030,-0.6393,24.77,-5.49,260.68,210.52,224.53,176.32
DATA,-313.75,-28.04,-1273.79,25.29,-1.37,31.86,-57.90,1.65,36.15,-305.39,-39.37,1306.83,25.73,-1.26,32.00,-29.64,-16.48,-54.27,64.00,-0.7132,0.2030,0.0984,-0.6636,25.07,-7.42,264.22,209.07,223.07,203.43
DATA,38.31,-563.40,-1142.08,9.98,-0.31,31.31,-55.95,-0.90,36.90,49.38,-579.34,1175.35,10.41,-0.21,31.45,-27.66,-19.00,-55.00,64.43,-0.6942,0.2003,0.0839,-0.6863,23.47,-9.11,267.44,214.48,228.49,238.54
DATA,-216.35,178.29,-948.77,-7.09,-10.12,22.95,-53.85,-1.95,36.30,-207.24,168.74,982.38,-6.65,-10.02,23.09,-25.50,-20.03,-54.37,63.30,-0.6875,0.1852,0.0745,-0.6982,21.29,-8.99,269.20,218.15,232.16,197.86
DATA,-219.35,164.51,-788.26,4.72,-22.89,38.17,-54.75,-9.15,33.45,-210.26,154.85,822.16,5.16,-22.79,38.31,-26.35,-27.10,-51.62,63.98,-0.6639,0.1839,0.0763,-0.7208,21.04,-9.43,272.96,225.80,239.81,205.95
DATA,-316.26,137.22,-940.50,-5.51,-10.12,-2.23,-54.75,-9.15,30.15,-307.91,127.32,974.14,-5.07,-10.02,-2.09,-26.28,-27.07,-48.34,61.32,-0.6654,0.1603,0.0674,-0.7259,18.33,-8.23,273.65,225.85,239.85,208.97
DATA,-311.00,119.94,-977.56,-5.59,0.93,-0.74,-57.90,-10.80,28.65,-302.61,109.89,1011.13,-5.16,1.03,-0.60,-29.47,-28.68,-46.93,62.39,-0.6811,0.1420,0.0936,-0.7121,19.13,-4.28,271.83,224.23,238.23,210.54
DATA,-305.74,153.75,-919.97,-2.17,2.10,-2.56,-56.25,-12.30,29.40,-297.31,143.99,953.64,-1.73,2.20,-2.42,-27.79,-30.17,-47.65,62.87,-0.6996,0.1261,0.1261,-0.6919,20.54,0.12,269.38,227.34,241.35,210.85
DATA,-300.73,163.51,-951.52,0.98,0.92,-3.47,-57.90,-10.80,30.15,-292.27,153.84,985.13,1.42,1.02,-3.33,-29.50,-28.69,-48.42,63.54,-0.7332,0.1313,0.1584,-0.6482,23.49,3.56,263.70,224.21,238.21,208.18
DATA,-264.67,115.43,-1036.91,0.50,2.07,-6.55,-57.90,-10.80,30.15,-255.93,105.35,1070.37,0.93,2.17,-6.41,-29.50,-28.69,-48.42,63.54,-0.7500,0.1319,0.1534,-0.6297,23.07,3.67,260.79,224.21,238.21,211.66
DATA,-266.93,76.12,-982.07,-0.63,3.20,-8.39,-58.65,-9.60,29.40,-258.20,65.70,1015.63,-0.19,3.31,-8.25,-30.25,-27.50,-47.68,62.81,-0.7679,0.1267,0.1494,-0.6099,22.20,4.30,257.77,222.28,236.28,211.29
DATA,-250.90,88.14,-946.51,-6.99,-3.42,-21.59,-60.90,-6.45,30.15,-242.06,77.82,980.13,-6.55,-3.32,-21.45,-32.57,-24.40,-48.44,63.27,-0.8422,0.1125,0.1394,-0.5085,19.49,6.92,243.44,216.84,230.85,206.16
